Qty,Value,CAD,USD,Link,,
12,100nF,,,,USD/CAD rate,1.42
1,S2B-PH-K-S,,,,,
5,MX_SK6812MINI-E,,,,,
2,SK6812MINI-E,$6.79,$4.78,https://www.aliexpress.com/item/1005007696173500.html,,
3,10kohm,,,,,
1,PEC12R-2217F-S0024,,,,,
2,MX1A-E1NN,,,,,
1,GSPTS004901,,,,,
1,XIAO NRF52840,,,,,
3,31-AH49FNTR-G1CT-ND,,,,,
,,,,,,
,Digikey Total,$46.85,$32.99,https://www.digikey.ca/short/tm8cttnv,,
,,,,,,
,3.7V Lipo Battery,$11.89,$8.37,https://www.aliexpress.com/item/1005008218024646.html,,
,GATERON Magnetic Jade Pro Switch,$13.58,$9.56,https://www.aliexpress.com/item/1005008169504340.html,,
,Pink keycaps,$4.79,$3.37,https://www.aliexpress.com/item/1005009531843221.html,,
,Transparent keycaps,$6.39,$4.50,https://www.aliexpress.com/item/1005002976015114.html,,
,,,,,,
,PCB,,$4.60,https://jlcpcb.com/,,
,,,,,,
,Total,$90.29,$63.58,,,
